id,value
id_0,30.4694043688
id_1,58.8470277535
id_2,28.7704192909
id_3,41.1533153355
id_4,23.878048219
id_5,28.8091189542
id_6,48.0682237335
id_7,24.8492602478
id_8,62.8878598748
id_9,22.6643772243
id_10,30.4360084986
id_11,34.3069230186
id_12,54.252598308
id_13,30.0587284719
id_14,64.3669936227
id_15,28.7938794715
id_16,38.414863884
id_17,37.8045187723
id_18,24.2093159112
id_19,23.7768963214
id_20,22.3744923704
id_21,25.59331863
id_22,35.7281718052
id_23,54.0487271283
id_24,42.6401828641
id_25,22.8371520724
id_26,24.3466597264
id_27,25.774495648
id_28,25.3214329601
id_29,23.7341939292
id_30,23.9894911622
id_31,22.9046621427
id_32,26.9567986336
id_33,38.3048038124
id_34,30.4518641062
id_35,31.6210145486
id_36,32.0936145145
id_37,30.053839031
id_38,22.0213367924
id_39,26.196145449
id_40,27.0075430878
id_41,38.4000282921
id_42,38.3133486372
id_43,28.3073723692
id_44,20.9343165277
id_45,46.4433516698
id_46,46.500846819
id_47,39.6320419403
id_48,25.6482991241
id_49,23.5647987245
id_50,40.7453882132
id_51,29.2672339464
id_52,29.5066693692
id_53,27.62018315
id_54,30.6286729159
id_55,32.3505598321
id_56,28.9600934695
id_57,32.7022262942
id_58,27.1320975259
id_59,43.3781862678
id_60,23.5739316807
id_61,44.7737158716
id_62,31.0956298034
id_63,34.6291734451
id_64,32.8692381747
id_65,30.2110529168
id_66,32.7362441441
id_67,42.9427799512
id_68,29.8976240422
id_69,42.2368658811
id_70,51.8837465763
id_71,48.7021677726
id_72,46.7521511675
id_73,22.3185994616
id_74,24.1411901999
id_75,47.4770112827
id_76,43.9518641542
id_77,23.2351760088
id_78,55.8980597073
id_79,34.5768298188
id_80,24.3049712135
id_81,24.0479317796
id_82,22.5213838984
id_83,27.712587413
id_84,27.1748148637
id_85,22.8384083039
id_86,22.9100234363
id_87,26.0865708699
id_88,27.7431800209
id_89,26.753284507
id_90,22.3411023407
id_91,23.2289989637
id_92,27.2160516486
id_93,23.0678170946
id_94,24.2026313363
id_95,28.4071860857
id_96,24.7226878632
id_97,22.3852431037
id_98,22.1533510594
id_99,23.9579468759
id_100,23.5518087346
id_101,24.3269157336
id_102,22.5783696578
id_103,22.3782493358
id_104,24.6767419305
id_105,23.4346460914
id_106,25.9558912412
id_107,25.4812142033
id_108,24.9969712201
id_109,23.007554804
id_110,24.3889856019
id_111,25.4363715615
id_112,24.1524324677
id_113,23.7126992189
id_114,28.0149185247
id_115,23.3388968236
id_116,26.8047855331
id_117,25.608540326
id_118,45.4073990802
id_119,22.9988837993
id_120,22.5304735342
id_121,28.8493370078
id_122,22.4320857773
id_123,23.8835474403
id_124,22.8768532816
id_125,26.4954771467
id_126,28.6014840087
id_127,22.5873044605
id_128,26.4306705999
id_129,22.9303784857
id_130,23.0501871626
id_131,24.253705848
id_132,29.9573861951
id_133,55.4678134164
id_134,28.0275645349
id_135,25.5363381427
id_136,23.8658277816
id_137,29.7756509278
id_138,33.0099251618
id_139,43.8294886773
id_140,24.0511972984
id_141,22.840667013
id_142,23.8379724259
id_143,23.9205029179
id_144,29.2479832383
id_145,24.3611172848
id_146,31.3049308336
id_147,23.7045907226
id_148,23.9994751288
id_149,23.5939853633
id_150,22.6317096383
id_151,29.8943747167
id_152,24.4022853609
id_153,22.690829676
id_154,26.2290587305
id_155,27.8803544663
id_156,23.0751674909
id_157,25.2543995721
id_158,22.9633099102
id_159,22.2875630314
id_160,40.7477903126
id_161,26.8089917972
id_162,46.6081968499
id_163,24.1825497902
id_164,28.7368876396
id_165,26.2303893977
id_166,30.019688699
id_167,22.0191483764
id_168,60.0171293213
id_169,24.8325562089
id_170,24.7579467276
id_171,48.5457859852
id_172,21.4780908548
id_173,22.7615311893
id_174,52.4302192447
id_175,22.3390482222
id_176,23.8151905201
id_177,51.0479200552
id_178,27.6401297446
id_179,25.531892672
id_180,30.2942096512
id_181,24.2679237498
id_182,39.0642176141
id_183,24.6073544051
id_184,23.544946642
id_185,32.0401892385
id_186,33.7244750529
id_187,22.9759501573
id_188,24.3795703467
id_189,23.5981091394
id_190,23.462004145
id_191,23.0766913463
id_192,26.8558211276
id_193,71.2045880826
id_194,29.3336833898
id_195,24.4120454479
id_196,46.2160062654
id_197,22.8322592299
id_198,23.5810579127
id_199,34.4556425334
id_200,25.9530603975
id_201,36.777557713
id_202,30.2692013957
id_203,28.6271380305
id_204,52.7114345747
id_205,21.4822310641
id_206,23.0585731713
id_207,34.6473785025
id_208,25.3338582966
id_209,58.7435302303
id_210,31.5860888725
id_211,89.3274884174
id_212,24.5456492336
id_213,213.642667313
id_214,23.3693709574
id_215,113.911749586
id_216,27.9997939821
id_217,56.2670099306
id_218,25.7661877927
id_219,59.0538505744
id_220,38.1366694093
id_221,65.6556824762
id_222,28.6051385098
id_223,29.4468989574
id_224,48.1452418949
id_225,23.1883812069
id_226,27.8670802355
id_227,30.4158307868
id_228,26.3463789181
id_229,22.2462824088
id_230,34.5574512201
id_231,24.8890918368
id_232,24.0811330098
id_233,27.8072706983
id_234,23.871042344
id_235,22.3959389822
id_236,22.229001134
id_237,24.2242308496
id_238,28.2645518173
id_239,22.6712526267
