id,value
id_0,22.0827185151
id_1,22.4289581138
id_2,22.0869163874
id_3,22.2307899739
id_4,22.0177480641
id_5,22.0931519494
id_6,22.3081093323
id_7,22.0387354125
id_8,22.4357730782
id_9,22.0361119201
id_10,22.1151544121
id_11,22.2000751194
id_12,22.3253795797
id_13,22.0970440137
id_14,22.4649961144
id_15,22.0513325732
id_16,22.2612930846
id_17,22.156557635
id_18,22.0288796685
id_19,22.0255090776
id_20,22.0063506853
id_21,22.0501312043
id_22,22.1563037749
id_23,22.3328272411
id_24,22.276275237
id_25,22.0565749559
id_26,22.0392740727
id_27,22.0411435251
id_28,22.0537889562
id_29,22.0354503935
id_30,22.0250968283
id_31,22.0105814896
id_32,22.0480260664
id_33,22.1707054101
id_34,22.0938794007
id_35,22.1681272392
id_36,22.1372304533
id_37,22.1045034511
id_38,22.0008509763
id_39,22.1089270098
id_40,22.0969289772
id_41,22.1897590609
id_42,22.2033956741
id_43,22.0730463869
id_44,22.0445529448
id_45,22.3204798152
id_46,22.338060619
id_47,22.2109648473
id_48,22.1021687327
id_49,22.0389184125
id_50,22.2161594029
id_51,22.0826349222
id_52,22.1047160006
id_53,22.0709776714
id_54,22.1295668433
id_55,22.1429741237
id_56,22.089950392
id_57,22.1022214945
id_58,22.1273941552
id_59,22.2492239721
id_60,22.0170586313
id_61,22.2585405347
id_62,22.1032819615
id_63,22.183441845
id_64,22.1656124641
id_65,22.0942040422
id_66,22.1519427902
id_67,22.2593508981
id_68,22.1063638083
id_69,22.2196130478
id_70,22.3986363846
id_71,22.3456609604
id_72,22.2712443885
id_73,22.0047360228
id_74,22.0343676982
id_75,22.2940111643
id_76,22.3026626147
id_77,22.0143650927
id_78,22.3965729978
id_79,22.1694240736
id_80,22.0213850218
id_81,22.0298332784
id_82,22.0076479775
id_83,22.0872688543
id_84,22.0441977139
id_85,22.0115753633
id_86,22.0160989127
id_87,22.0412469429
id_88,22.0679900562
id_89,22.0548692032
id_90,22.0249567901
id_91,22.01332792
id_92,22.0601503246
id_93,22.0117329346
id_94,22.0475817197
id_95,22.0718402189
id_96,22.0273225251
id_97,22.0051814168
id_98,22.0061723808
id_99,22.0235969375
id_100,22.0150692195
id_101,22.045010032
id_102,22.0096269912
id_103,22.0053509038
id_104,22.0342299813
id_105,22.0433722993
id_106,22.066378654
id_107,22.0413990981
id_108,22.0415039013
id_109,22.019200277
id_110,22.031746415
id_111,22.046662357
id_112,22.0203451682
id_113,22.0291675124
id_114,22.0686513949
id_115,22.0200893221
id_116,22.0516245842
id_117,22.0574516239
id_118,22.2560818066
id_119,22.0128412853
id_120,22.0044422935
id_121,22.0393617947
id_122,22.0074226239
id_123,22.0181272183
id_124,22.0082140809
id_125,22.0522336731
id_126,22.0683163446
id_127,22.0106771852
id_128,22.0487030273
id_129,22.0163494906
id_130,22.0090215719
id_131,22.0548091104
id_132,22.0745192296
id_133,22.3968454356
id_134,22.0810526518
id_135,22.0456208149
id_136,22.0284347786
id_137,22.0798026995
id_138,22.2417588026
id_139,22.2936962313
id_140,22.0353200645
id_141,22.0185249925
id_142,22.0395381947
id_143,22.0172458619
id_144,22.0740860663
id_145,22.0201506882
id_146,22.0996562121
id_147,22.0174765904
id_148,22.0202576043
id_149,22.0212823022
id_150,22.0445388014
id_151,22.0827016369
id_152,22.0386877187
id_153,22.0118600872
id_154,22.0559432142
id_155,22.0822720036
id_156,22.013503547
id_157,22.0547331608
id_158,22.0194394386
id_159,22.007539009
id_160,22.2180651476
id_161,22.0544770997
id_162,22.3047816648
id_163,22.0302674069
id_164,22.0931902902
id_165,22.0604578878
id_166,22.1092951905
id_167,22.0008323672
id_168,22.4486001686
id_169,22.0501278275
id_170,22.0281342924
id_171,22.3244634434
id_172,22.0053072171
id_173,22.0102839784
id_174,22.3323690406
id_175,22.0042490267
id_176,22.0219060935
id_177,22.3055789607
id_178,22.066673757
id_179,22.0390074721
id_180,22.1245989444
id_181,22.0509074529
id_182,22.1830836864
id_183,22.0261750388
id_184,22.0137415836
id_185,22.1311282637
id_186,22.1344216203
id_187,22.0335838721
id_188,22.027447655
id_189,22.0246860106
id_190,22.0186651331
id_191,22.0105759094
id_192,22.0722955303
id_193,22.6878355033
id_194,22.0977004385
id_195,22.0327073124
id_196,22.3288899865
id_197,22.0159724984
id_198,22.021299804
id_199,22.1308632007
id_200,22.3760931317
id_201,22.1530067033
id_202,22.1590281537
id_203,22.0666257166
id_204,22.3735159749
id_205,22.0203625686
id_206,22.0223196742
id_207,22.130103762
id_208,22.1288749533
id_209,22.3478165732
id_210,22.1365723062
id_211,22.7727650324
id_212,22.0430639018
id_213,24.3009887512
id_214,22.0405287826
id_215,23.0041201402
id_216,22.2373153249
id_217,22.4185529903
id_218,22.0569661916
id_219,22.4409761305
id_220,22.1706569565
id_221,22.5182555349
id_222,22.0825933413
id_223,22.090650724
id_224,22.3131651722
id_225,22.0155404233
id_226,22.0810426063
id_227,22.1772271998
id_228,22.0557683172
id_229,22.005383966
id_230,22.1365605708
id_231,22.0314744667
id_232,22.0350117605
id_233,22.0648776558
id_234,22.0306341324
id_235,22.0122835549
id_236,22.0067533608
id_237,22.0158649204
id_238,22.0826216682
id_239,22.0058571077
